Chamber,Congress,Session,Start Date,End Date,Days in session,Time in session,Pages of proceedings,Extensions of remarks,Public bills enacted into law,Private bills enacted into law,Bills in conference,"Measures passed, total","Measures passed, Senate bills","Measures passed, House bills","Measures passed, Senate joint resolutions","Measures passed, House joint resolutions","Measures passed, Senate concurrent resolutions","Measures passed, House concurrent resolutions","Measures passed, Simple resolutions","Measures reported, total","Measures reported, Senate bills","Measures reported, House bills","Measures reported, Senate joint resolutions","Measures reported, House joint resolutions","Measures reported, Senate concurrent resolutions","Measures reported, House concurrent resolutions","Measures reported, Simple resolutions",Special reports,Conference reports,Measures pending on calendar,"Measures introduced, total","Measures introduced, Bills","Measures introduced, Joint resolutions","Measures introduced, Concurrent resolutions","Measures introduced, Simple resolutions",Quorum calls,Yea-and-nay votes,Recorded votes,Bills vetoed,Vetoes overridden,Bills through conference,Bills not signed
Senate,104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,211,1839:10,19345,,28,,,346,77,80,7,11,14,18,139,249,166,35,8,7,7,1,25,16,0,162,1801,1514,45,36,206,3,613,,,,,
Total,104,1,1995-01-04 00:00:00,1996-01-03 00:00:00,,,35003,2455,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,122,919:12,12304,1951,192,3,8,529,50,276,4,18,11,41,129,371,8,255,0,5,0,7,96,38,34,74,1899,1504,61,102,232,1,223,231,6,,,
Senate,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,132,1036:45,12471,,53,,2,476,149,178,3,13,20,25,88,260,181,63,1,1,4,1,9,15,1,267,860,687,20,36,117,2,306,,0,0,,
Total,104,2,1996-01-03 00:00:00,1996-10-04 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,132,1003:42,10963,2425,104,3,2,544,50,243,3,19,13,46,170,374,4,244,1,11,,9,105,13,20,40,3728,3088,106,200,334,7,285,348,3,,,
Senate,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,153,1093:07,12724,,49,1,,385,121,101,5,17,30,19,93,248,159,32,2,2,13,2,38,22,,111,1840,1568,39,70,163,6,298,,,,,
Total,105,1,1997-01-03 00:00:00,1997-11-13 00:00:00,,,,,153,4,,929,,,,,,,,622,,,,,,,,,,,5568,,,,,,,,,,,
House,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,119,997:42,12048,2367,150,6,5,642,92,287,4,12,11,52,184,378,6,241,,4,,9,118,40,26,87,2254,1786,34,154,280,14,257,276,4,2,,
Senate,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,143,1095:05,13004,,91,,,506,171,157,4,10,30,25,109,363,245,79,7,1,9,1,21,19,,246,1321,1090,21,60,150,4,314,,,,,
Total,105,2,1998-01-27 00:00:00,1998-10-21 00:00:00,,,,,241,6,,1148,,,,,,,,741,,,,,,,,,,,3575,,,,,,,,,,,
House,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,137,1125,12908,2537,122,1,10,657,55,292,,21,6,70,213,450,10,279,,9,,13,139,12,26,59,4241,3517,85,239,400,2,320,289,5,,,
Senate,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,162,1183:57,15226,,48,2,30,549,182,132,2,18,24,33,158,348,245,40,4,3,6,2,48,18,,142,2352,1997,37,77,241,7,374,,,,,
Total,106,1,1999-01-06 00:00:00,1999-11-22 00:00:00,,,,,170,3,,1206,,,,,,,,795,,,,,,,,,,,6593,,,,,,,,,,,
House,106,2,2000-01-24 00:00:00,2000-12-15 00:00:00,135,1054:14,12439,2203,279,8,10,877,143,416,4,26,27,80,181,501,40,312,,4,,9,136,40,27,130,2701,2164,49,208,280,3,359,241,6,1,,
Senate,106,2,2000-01-24 00:00:00,2000-12-15 00:00:00,141,1017:51,11943,,131,13,26,696,181,270,10,24,57,39,115,408,256,111,2,1,14,4,20,16,4,302,1546,1290,19,85,152,6,298,,1,0,,
Total,106,2,2000-01-24 00:00:00,2000-12-15 00:00:00,,,,,410,21,,1573,,,,,,,,909,,,,,,,,,,,,,,,,,,,,,,
House,107,1,2001-01-03 00:00:00,2001-12-20 00:00:00,142,922:4,10967,2526,109,,3,592,25,267,6,19,9,91,175,323,3,204,,5,,11,100,9,21,36,4318,3610,81,298,329,5,313,194,,,,
Senate,107,1,2001-01-03 00:00:00,2001-12-20 00:00:00,173,1236:15,14084,,27,1,19,425,90,102,11,14,43,42,123,246,139,41,8,,17,2,39,24,2,112,2212,1891,30,93,198,3,380,,,,,
Total,107,1,2001-01-03 00:00:00,2001-12-20 00:00:00,,,,,136,1,,1017,,,,,,,,569,,,,,,,,,,,6530,,,,,,,,,,,
House,107,2,2002-01-23 00:00:00,2002-11-22 00:00:00,123,772:15,9135,2151,199,4,3,623,46,299,3,12,10,84,169,408,19,274,1,4,,12,98,34,16,126,2711,2157,44,223,287,1,302,181,,,,
Senate,107,2,2002-01-23 00:00:00,2002-11-22 00:00:00,149,1043:23,11801,,42,1,14,523,119,205,3,10,32,30,124,402,252,109,3,,9,3,26,5,2,311,1558,1298,23,67,170,2,253,,,,,
Total,107,2,2002-01-23 00:00:00,2002-11-22 00:00:00,,,,,241,5,,1146,,,,,,,,810,,,,,,,,,,,4269,,,,,,,,,,,
House,108,1,2003-01-07 00:00:00,2003-12-09 00:00:00,133,1014:39,12928,2559,136,0,8,674,59,286,3,20,8,77,221,375,11,233,1,3,0,9,118,6,24,78,4616,3700,83,348,485,2,417,258,0,0,,
Senate,108,1,2003-01-07 00:00:00,2003-12-09 00:00:00,167,1454:05,16221,,62,0,22,590,183,134,5,15,37,33,183,352,240,46,4,0,10,1,51,18,3,153,2398,2004,26,86,283,3,459,0,0,0,,
Total,108,1,2003-01-07 00:00:00,2003-12-09 00:00:00,,,,,198,0,,1264,,,,,,,,727,,,,,,,,,,,7014,,,,,,,,,,,
House,108,2,2004-01-03 00:00:00,2004-12-31 00:00:00,110,879:3,11057,2212,216,4,9,747,86,332,3,12,15,88,211,374,18,246,0,1,0,6,103,6,15,161,2338,1732,32,184,390,1,313,230,0,0,,
Senate,108,2,2004-01-03 00:00:00,2004-12-31 00:00:00,133,1031:31,12087,,84,2,10,663,192,216,6,8,44,39,158,317,227,62,5,0,6,2,15,9,2,296,1318,1032,16,66,204,1,216,0,0,0,,
Total,108,2,2004-01-03 00:00:00,2004-12-31 00:00:00,,,,,300,6,,1410,,,,,,,,691,,,,,,,,,,,3656,,,,,,,,,,,
House,109,1,2005-01-04 00:00:00,2005-12-22 00:00:00,140,1067:12,13189,2651,119,,3,715,51,290,1,12,11,88,262,334,5,186,,3,,6,134,10,20,93,5703,4653,75,330,645,2,362,307,,,,
Senate,109,1,2005-01-04 00:00:00,2005-12-22 00:00:00,159,1222:26,14425,,50,,18,624,194,117,2,8,22,41,240,287,227,37,2,,1,,20,14,2,180,2618,2169,27,75,347,3,366,,,,,
Total,109,1,2005-01-04 00:00:00,2005-12-22 00:00:00,,,,,169,,,1339,,,,,,,,621,,,,,,,,,,,8321,,,,,,,,,,,
House,109,2,2006-01-03 00:00:00,2006-12-31 00:00:00,101,850:19,9325,2257,213,0,4,710,87,319,2,8,8,77,209,345,10,223,0,1,0,9,102,12,9,159,2451,1785,27,174,465,2,287,252,1,0,,
Senate,109,2,2006-01-03 00:00:00,2006-12-31 00:00:00,138,1027:48,11857,0,100,1,1,635,142,211,2,8,20,41,211,231,160,57,2,0,4,0,7,11,1,303,2302,1953,14,48,287,1,279,0,0,0,,
Total,109,2,2006-01-03 00:00:00,2006-12-31 00:00:00,,,,,313,1,5,1345,,,,,,,,576,,,,,,,,,,,4753,,,,,,,,,,,
House,110,1,2007-01-04 00:00:00,2007-12-31 00:00:00,164,1247:52,16951,2664,135,0,7,1127,44,516,3,8,9,94,453,486,2,328,0,0,0,7,149,8,12,48,6194,4930,75,278,911,9,648,529,6,1,,
Senate,110,1,2007-01-04 00:00:00,2007-12-31 00:00:00,190,1375:54,16071,0,45,0,5,621,102,147,5,6,28,32,301,422,257,72,5,1,8,6,73,22,1,333,3033,2524,27,64,418,6,442,0,1,1,,
Total,110,1,2007-01-04 00:00:00,2007-12-31 00:00:00,,,,,180,0,12,1748,,,,,,,,908,,,,,,,,,,,9227,,,,,,,,,,,
House,110,2,2008-01-03 00:00:00,2009-01-03 00:00:00,119,890:25,10976,2386,183,0,5,999,95,427,5,3,6,94,369,403,4,291,1,0,0,5,102,28,4,92,3225,2410,26,165,624,2,472,216,4,3,,
Senate,110,2,2008-01-03 00:00:00,2009-01-03 00:00:00,184,988:30,10981,0,97,0,4,589,109,178,5,4,24,38,231,452,295,127,3,1,2,3,22,8,0,665,1590,1217,19,43,311,3,215,0,0,0,,
Total,110,2,2008-01-03 00:00:00,2009-01-03 00:00:00,,,,,280,0,9,1588,,,,,,,,855,,,,,,,,,,,4815,,,,,,,,,,,
House,111,1,2009-01-06 00:00:00,2009-12-31 00:00:00,159,1247:24,15507,3608,87,,1,970,35,388,4,10,11,68,454,388,1,233,,,,8,125,10,11,50,5699,4412,66,225,996,4,535,452,1,,,
Senate,111,1,2009-01-06 00:00:00,2009-12-31 00:00:00,191,1420:39,14141,,38,,1,478,66,98,5,7,22,31,249,199,112,50,1,,4,1,31,24,,146,3380,2920,25,48,387,3,397,,,,,
Total,111,1,2009-01-06 00:00:00,2009-12-31 00:00:00,,,,,125,,,1448,,,,,,,,587,,,,,,,,,,,9079,,,,,,,,,,,
House,111,2,2010-01-05 00:00:00,2010-12-31 00:00:00,127,879:20,8993,2259,178,,,922,80,334,4,6,7,51,440,295,1,200,,,,3,91,30,2,74,3098,2158,41,111,788,4,450,210,1,,,
Senate,111,2,2010-01-05 00:00:00,2010-12-31 00:00:00,158,1074:40,11075,,80,2,,569,106,163,4,5,14,33,244,388,275,96,2,,2,,13,6,,454,1506,1139,17,30,320,8,299,,,,,
Total,111,2,2010-01-05 00:00:00,2010-12-31 00:00:00,,,,,258,2,,1491,,,,,,,,683,,,,,,,,,,,4604,,,,,,,,,,,
House,112,1,2011-01-05 00:00:00,2012-01-03 00:00:00,175,992:40,10033,2347,66,,2,384,21,190,4,7,7,23,132,307,3,213,,3,,2,86,50,3,84,4456,3756,97,95,508,3,275,671,,,,
Senate,112,1,2011-01-05 00:00:00,2012-01-03 00:00:00,170,1101:44,8793,,24,,2,402,61,64,4,5,17,17,234,185,132,22,1,,2,,28,17,3,183,2447,2031,33,33,351,5,235,,,,,
Total,112,1,2011-01-05 00:00:00,2012-01-03 00:00:00,,,,,90,,,786,,,,,,,,492,,,,,,,,,,,6903,,,,,,,,,,,
House,112,2,2012-01-03 00:00:00,2013-01-03 00:00:00,153,726:12,7589,2043,139,,,479,55,301,2,4,13,18,86,335,13,267,,1,,2,52,53,4,119,3381,2967,25,52,337,1,246,412,,,,
